,,,,,,,,,,,,,,,,,,
 ,,,,Mon,,Tues,,Wed,,Thurs,,Fri,,Sat,,Sun,,
00-Jan to 06-Jan,,,2023,,,01-Jan,,02-Jan,,03-Jan,,04-Jan,,05-Jan,,06-Jan,,
Not at work/NOT contactable,,,,"GV,PCS,TW),sr,KH,EY, HK, JF,JD",,"SL,HK,TC,EY, JF",,"SS,MK,GW,DS,JD, GV",,"KH,PS,LK,JF",,"TW,JEM,PS, JF, JD",,,,DRAFT,,
Sabbatical or half day (not available),,,,AG,"AG, AH (pm)",AG ,AG,AG,AG,"AH (am), AG",AG,AG,AG,,,,,
Away this week,,,SMO,ARS,pm,,,,,,,,,,,,,
,,,RMO,,,,,,,,,,,,,,,
,,,,SMO,RMO,SMO,RMO,SMO,RMO,SMO,RMO,SMO,RMO,,,,,
"SUNRISE HOUR
0800-0900H",,,,"RMOs: ED/IP reporting 
 ALL available SMOs: On call signoff all modalities - please minimise interruptions",,,,,,,,,,,,,,
AM Reporting duties,,,GENERAL,"JE,MK,PS,GW,DS",(CT) mrr,"GW,JEM,MK
AG,ARS",(CT) PP2,"JE,PS
AH(Vasc/Gen), AG",(CT) chv,"MK,JEM,SK,EY
GW",(CT),"GW,MK,EY,TC
HK,KH(fr9)
ARS(fr930)",(CT) chv,,,,,
"
0900-1200h:
Subspec/OP reporting & MDM prep time for rostered Radiologists - ED/IP reporting if required due to volume

Those in General reporting continue ED/IP reporting with Subspec/OP as time permits",,,,,(MRI) gigu,,,,"(MRI) nent,mrr",,"(MRI)mrr,muk,wrus",,"(MRI) nent,mrr",,,,,
,,,Gen Y1 RMO supervision,,"ctpf,mrr",,,,"ctpf,mrr,flpf",,"ctpf,mrr,flpf",,"ctpf,mrr,flpf",,,,,
,,,WFH,ARS,,,,,,"MK,AG,GW",,,,,,,,
,,,ICU mtg,MK,(PF) ctpf,MK,(PF),TW,(PF) ctpf,JEM,(PF) ctpf,GW,"(PF) ctpf,brr (fr9.30)",,,,,
,,,N/H&N,"MM2, PCS",,,,PCS,,JD,,,,,,,,
,,,Abd/Gyn,"AG,ARS",gigu,"ARS,AG",,,,MM,,ARS(fr930),,,,,,
,,,Chest/CVS,JE,,,,TW,chv,,,JE,,,,,,
,,,MSK,,,,,,,,muk,,,,,,,
,,,Paeds,JEM,"pJnm,pSnm",DH,,JEM,"pJnm,pSnm",GV,"pJnm,pSnm",GV,"pJnm,pSnm",,,,,
,,,Breast,SS,brr,SS,,MW (HBSA),,SS,,,,,,,,
,,,Kenepuru,,,,,KH(Br),brr,,,,,,,,,
PM Reporting duties,,,GENERAL,"AG,MK,GW
PS
","(CT) ctpf,flpf,chv","KH&SS(fr2.30)
MK,SK,DS,DH
GW","(CT) ctpf,flpf","AH,PS,HK,JEM
SL(Vasc/Gen)","(CT) ctpf,flpf","MK,SK,HK
SL(Vasc/Gen)","(CT) ctpf,flpf","HK,KH,SK
GW,TC","(CT) nent,ctpf,flpf",,,,,
"
1300-1600h:
Subspec/OP reporting & MDM prep time for rostered Radiologists
- ED/IP reporting if required due to volume

Those in General reporting continue ED/IP reporting, with Subspec/OP as time permits",,,,,(MRI) gigu,,"(MRI) nent,chv",,(MRI) nent,,(MRI) nent,,(MRI),,,,,
,,,,,"(PF) mrr,muk",,(PF) mrr,,(PF) mrr,,"(PF) mrr,chv",,(PF) mrr,,,,,
,,,Gen Y1 RMO supervision,,"ctpf,mrr,flpf",,"ctpf,mrr,flpf",,"ctpf,mrr,flpf",,"ctpf,mrr,flpf",,"ctpf,mrr,flpf",,,,,
,,,WFH,"JE,DS",,,,,,MK,,,,,,,,
,,,N/H&N,"SK,MM2",nent,"JD,MM2",nent,"SK,MM2",nent,JD,nent,"DS,PCS",nent,,,,,
,,,Abd/Gyn,"MM,ARS",gigu,"MM,LK",,ARS,,,,MM,,,,,,
,,,Chest/CVS,"JE,JEM", chv,TW(CardiacCT),chv,,,TW,chv,,,,,,,
,,,MSK,,,,,,,,,EY,muk,,,,,
,,,Paeds,JEM,"pJnm,pSnm",JEM,pnmtil2,GV,"pJnm,pSnm",JEM,"pJnm,pSnm",GV,,,,,,
,,,Breast,,,MW,brr,MW (HBSA),,,,,,,,,,
,,,NucMed,,,AMH,"pJnm,pSnm(Fr2)",,,,,,,,,,,
,,,Kenepuru,,,,,KH(Br),brr,,,,,,,,,
"SUNSET HOUR
1600-1700H",,,,,ED/IP reporting all modalities: ALL available Radiologists - please minimise interruptions,,,,,,,,,,,,,
Fluoroscopy,,,am,LK,"flpf,muk,fla",ERCP,,MM,flpf,,,GV,"pJnm,pSnm,flpf",,,,,
,,,pm,Urgent IP,"(flpf,fla)","Pain 1-2
Urgent IP","
(flpf) ","VFS 1-2 
Urgent IP","
(flpf,fla) ",ERCP,,Urgent IP,(flpf) ,,,,,
Ultrasound,,,am,TC,usr,KH,PP2,ARS,"usr,(pJnm,pSnm-hip)",TW,usr,SS(fr9),usr,,,,,
,,,pm,LK,usr,AG,usr,JE,"usr,chv,(pJnm,pSnm-hip)",GW,usr,MK,usr,,,,,
US Gen OP Bx,,,pm,SL(H&N),"nent,fla",,,SL(H&N),"nent,fla",EY(MSK),muk,,,,,,,
"DUTY RADIOLOGIST 
(8am - 5pm)",,,am,"nent,flpf,wrus",,PP2 RMO or SMO,,muk,,"brr,chv,fla,wrus",,muk,,,,,,
,,,pm,brr,,"wrus,muk,fla",,"gigu,muk",,brr,,"pJnm,pSnm,brr,gigu,chv",,,,,,
Body intervention,,,am,AH,,LK,,JF,gigu,ARS,gigu,JE,(chv-bx),,,,,
,,,Sp Inj 11-12 (NMCT),,,JD,"Senior RMO,fla",,,,,,,,,,,
,,,pm,SL,fla,AH,gigu,PCS,,MM,gigu,GV/MM,,,,,,
Angio/Intervention,,,am,KES,chv,Vasc,,SL,fla,"PCS,MM2",,AH/SL,fla,,,,,
